Vivek High School,"Chandigarh Sector 38, Chandigarh - 160036, Sec-38b, Adj To Hort & Dainik Bhaskar Office","+(91)-172-2699428 , 2699429 , 2698988",,,4.2,"Schools , CBSE Schools , English Medium Schools"
Bharatiya Vidya Bhavan,"P No-5, Madhya Marg, Chandigarh Sector 27, Chandigarh - 160019, Jaisukhlal Hathi Sadan, Sector-27b","+(91)-172-2656955 , 5041620 , 5041630",http://www.bhavanchd.com,,4.4,"Schools , CBSE Schools , English Medium Schools"
Ryan International School,"Chandigarh Sector 49b, Chandigarh - 160047, Opposite Pushpa Complex","+(91)-172-2632410 , 2632447",http://www.ryaninternational.org,,4.1,"Schools , CBSE Schools , English Medium Schools , International Schools"
St Johns High School,"Chandigarh Sector 26, Chandigarh - 160026, Opp Khalsa College","+(91)-172-2792678 , 2792571",,,4.4,"Schools , CBSE Schools , English Medium Schools"
Sacred Heart Convent School,"Chandigarh Sector 26, Chandigarh - 160019",+(91)-172-2792297,,,4.2,"Schools , CBSE Schools , English Medium Schools , Convent Schools"
Carmel Convent School,"Chandigarh Sector 9, Chandigarh - 160009, Sector-9B","+(91)-172-2740891 , +(91)-9815301313 , 2743209 , 2742209",,,4.5,"Schools , CBSE Schools , English Medium Schools , Convent Schools"
Strawberry Fields High School,"Plot No -749, Chandigarh Sector 26, Chandigarh - 160019","+(91)-172-2795903 , +(91)-9814004015 , 2795904 , 2775964 , 4679163",http://www.strawberryfieldshighschool.com,,4.4,"Schools , English Medium Schools , ICSE Schools"
St Kabir Public School,"Chandigarh Sector 26, Chandigarh - 160019, Sec-26","+(91)-172-2791459 , 2793437",http://www.stkabir.co.in,,4.4,Schools
Gurukul Global School,"Mani Majra, Chandigarh - 160101","+(91)-172-2735100 , +(91)-9646169100 , 2737100",,,4.1,"Schools , CBSE Schools , Shoe Dealers , English Medium Schools , Shoe Dealers-Woodland , Shoe Dealers-Nike , Shoe Dealers-Adidas , Shoe Dealers-Puma , Shoe Dealers-Reebok , Shoe Dealers-Bata , Shoe Dealers-LEE Cooper , Nursery Schools , Sports Shoe Dealers , Shoe Dealers-Liberty , Shoe Dealers-Lotto , Shoe Dealers-Caterpillar , Primary Schools , School Preperatory"
Mount Carmel School,"Chandigarh Sector 47, Chandigarh - 160047, Sector-47b,Near Kendriya Vidyalya",+(91)-172-2630145,http://www.mountcarmelchd.org,,4.2,"Schools , CBSE Schools , Boarding Schools , English Medium Schools , Convent Schools"
DAV model school,"Chandigarh Sector 15, Chandigarh - 160015",+(91)-172-2541648,,,4.4,"Schools , English Medium Schools"
Manav Mangal Smart School,"Mohali Chandigarh, Chandigarh - 160059, Phase- 10, Sector- 64",+(91)-172-5053111,,,4.3,"Schools , CBSE Schools , English Medium Schools , Junior KG , Senior KG"
St Xavier Sr Sec School,"Chandigarh Sector 44c, Chandigarh - 160047, Opp Chaitanya Hospital","+(91)-172-2607079 , 2601706",,,4.2,"Schools , English Medium Schools , ICSE Schools"
St Annes Convent School,"Chandigarh, Chandigarh - 160038, Sector -32 C",+(91)-172-2603278,http://www.sacschd.in,,4.4,"Schools , CBSE Schools , English Medium Schools , Convent Schools"
Little Flower Convent School,"Housing Board Complex, Panchkula Sector 14, Panchkula - 134113",+(91)-172-2574527,,,4.4,"Schools , English Medium Schools , Convent Schools , Isc Schools"
Bharatiya Vidya Bhavan,"Panchkula, Panchkula - 134114, Sec- 15","+(91)-172-2592509 , 2593438",http://www.bhavans.info,,4.2,"Schools , CBSE Schools , English Medium Schools"
St Josephs Sr Sec School,"Chandigarh Sector 44d, Chandigarh - 160047, Near Petrol Pump","+(91)-172-2662616 , 4639566",,,4.1,"Schools , CBSE Schools , English Medium Schools"
Shivalik Public School,"Chandigarh Sector 41, Chandigarh - 160036, Sector-41 B","+(91)-172-2627451 , +(91)-9815131313 , 2626913 , 2628548 , 2225486",http://www.shivalik.org,,4.2,"Schools , CBSE Schools , English Medium Schools"
Kendriya Vidyalaya,"Chandigarh Sector 47, Chandigarh - 160047",+(91)-172-2633404,,,4.5,"Schools , CBSE Schools , English Medium Schools"
D A V Public School,"39d, Chandigarh Sector 8c, Chandigarh - 160009, Sec- 8 C",+(91)-172-2548269,http://www.davpschandigarh.com,,4.4,"Schools , CBSE Schools , English Medium Schools"
Yadvindra Public School,"PH-8, Mohali Chandigarh, Mohali - 160063",+(91)-172-2545433,,,4.8,Schools
