Euro Kids,"1, Income Tax Society, Gurukul Road, Gurukul, Ahmedabad - 380052, Near H B Kapadia School, Near Subh...","+(91)-79-33012240 , 18002095656",http://www.eurokidsindia.com,2006,3.8,"Schools , Playgroups , Nursery Schools , Kindergartens"
Sattvavikas School,"Sattvavikas School, Near Sindhu Bhavan, Thaltej, Ahmedabad - 380059, Thaltej",+(91)-79-30234385,http://www.sattvavikas.com,2003,3.8,"CBSE Schools , Schools , English Medium Schools , Gseb Schools , Nursery Schools , Kindergartens , Schools For Higher Secondary , Schools Nursery To X , School For Boys"
St Anns School,"185, Sterling City, Bopal, Ahmedabad - 380058, Opposite Neelkanth Orchid Flat",+(91)-79-30492176,http://www.stannsschool.in,2000,3.6,"CBSE Schools , Schools , English Medium Schools , Playgroups , Gseb Schools , Nursery Schools , Kindergartens , Schools For Higher Secondary , Public Schools , Schools Nursery To X , Schools Nursery To VII"
Shreeji Image Public School,"Swaminarayan Vidhyadham, Jashodanagar, Mahemadabad Highway, Hathijan, Ahmedabad - 382445",+(91)-79-30922631,http://www.shreeswaminrayanvidhyadh.org,2012,4.3,"CBSE Schools , Schools , English Medium Schools , Gseb Schools , Nursery Schools"
Little Wings A Child Care Initiative & Academy,"Ghuma Bopal Road, Bopal, Ahmedabad - 380058, Near Kabir Enclave",+(91)-79-33010628,http://ww.littlewings.net,2014,3.9,"Schools , Language Classes For English , Playgroups , Personality Development Institutes , Activity Class , Language Classes , Nursery Schools , Personality Development , Language Classes For English For Children , Institutes For Skill Development , Tutorials For English , Institutes For Self Development , Tutorials For KG"
Little Millennium,"15 16, Rameshwaram Row House, Bodakdev, Ahmedabad - 380054, Lane Of Hyderabadi Biryani Satelite",+(91)-79-30922714,http://www.littlemillennium.com,1996,5.0,"Schools , Playgroups , Day Care Centres , Kindergartens , Activity Class , Nursery Schools , Mother Toddler Activity Centres , Schools Nursery To X , Schools Nursery To VII , Summer Camps"
Eurokids,"8, Chandramauli Bunglow, Sona Cross Road, Chandkheda, Ahmedabad - 382424, Behind Sharan Residency, O...",+(91)-79-30234727,http://www.eurokidsindia.com,2006,3.6,"Schools , Playgroups , Nursery Schools , Kindergartens"
First Step Playgroup And Nursery,"15, Uttam Nagar, Maninagar, Ahmedabad - 380008, Opposite Surya City Flat, Behind Hira Bhai Tower",+(91)-79-33015050,http://www.firststepplaygroup.in,2007,5.0,"Schools , English Medium Schools , Playgroups , Kindergartens , Activity Class , Nursery Schools , Calligraphy Classes , Vedic Maths Training Centres , Abacus Institutes , Online Abacus Classes"
Euro Kids,"31, Mayurpankh Society, Pintoo Garments Lane, Manekbag, Ahmedabad - 380015, Opp. Shri Shriravishanka...",+(91)-79-30495452,,2002,4.2,"Schools , Playgroups , Nursery Schools , Kindergartens"
Hello Kids Nalanda,"A 14, C P Nagar Part 2, Ghatlodia, Ahmedabad - 380061, Opposite Arjun Tower",+(91)-79-33014907,http://www.hellokids.co.in,2014,5.0,"Schools , Dance Classes , English Medium Schools , Playgroups , Summer Camps , Nursery Schools , Arts & Crafts Classes , Hobby Classes , Kindergartens , Drawing Class , Arts & Crafts Classes For Children"
Bright School,"Mangal Vidyalay School Campus, Ellis Bridge, Ahmedabad - 380006, Near Mithakhali Bus Stop",+(91)-79-30491971,http://www.brightschool.in,,3.6,"Schools , Playgroups , English Medium Schools , Day Care Centres , Kindergartens , Nursery Schools"
Angel School,"100/1, Naresh Building, Maninagar, Ahmedabad - 380008, Opposite L G Hospital",+(91)-79-30932969,http://www.angelschool.co.in,1982,4.3,"Schools , English Medium Schools , Playgroups , Day Care Centres , Gujarati Medium Schools , Summer Camps , International Schools , Gseb Schools , Nursery Schools , Kindergartens , IGCSE Schools , Yoga Teacher Training Institutes , Teacher Training Institutes , Schools For Higher Secondary , Public Schools , Schools Nursery To X , Schools Nursery To VII"
Euro Kids,"1, Ashiana Bungalows Part 2, Premchand Nagar Road, Vastrapur, Ahmedabad - 380015, Opposite Judges Bu...",+(91)-79-30495451,,1961,4.2,"Schools , Playgroups , Kindergartens , Nursery Schools"
Muktajivan English School,"Maninagar, Ahmedabad - 380008, Near Avkar Hall & Daxini Society, Under Daxini Bridge",+(91)-79-30491666,http://www.muktjivanschools.com,2005,3.7,"Schools , English Medium Schools , Gseb Schools , Kindergartens"
Anand Niketan School,"Plot No 495, Thaltej Shilaj Road, Opposite Aryaman Bungalow, Shilaj, Ahmedabad - 380058, Near Ambli ...",+(91)-79-33012959,http://www.anandniketan.org,1997,4.2,"Schools , Playgroups , ICSE Schools , International Schools , Kindergartens , Nursery Schools , Schools For Higher Secondary , Schools Nursery To X"
Mother Teresa World School,"663, Ognej Circle, Vadsar, Sarkhej Gandhinagar Highway, Ahmedabad - 380055, Near Airforce Station",+(91)-79-30925850,http://www.motherteresaschools.in,2012,4.2,"Schools , Boarding Schools"
St Marys Higher Secondary School,"Gota Vadsar Road, Ognaj, Ahmedabad - 380060, Near Vasant Nagar & Ahmedabad Institute of Technology",+(91)-79-33013767,,2003,5.0,"Schools , Playgroups , English Medium Schools , Kindergartens , Gseb Schools , Nursery Schools , Schools For Higher Secondary , Schools Nursery To X , Schools Nursery To VII"
Euro Kids,"14, Dungarshree Nagar 1, Anjali Cross Road, Paldi, Ahmedabad - 380007, Near Sheth Hospital",+(91)-79-30495454,,2002,4.0,"Schools , Playgroups , Kindergartens , Nursery Schools"
St Anns School,"185, Sterling City, Bopal, Ahmedabad - 380058, Opposite Neelkanth Orchid Flat",+(91)-79-30492176,http://www.stannsschool.in,2000,3.6,"CBSE Schools , Schools , English Medium Schools , Playgroups , Gseb Schools , Nursery Schools , Kindergartens , Schools For Higher Secondary , Public Schools , Schools Nursery To X , Schools Nursery To VII"
R P Vasani International School,"Nikol Naroda Road, Nava Naroda, Ahmedabad - 382330, Behind Radheshyam Residency, Near Suyog 99, Oppo...",+(91)-79-33014932,http://www.rpvis.org,2014,4.3,"CBSE Schools , Schools , English Medium Schools , Nursery Schools , Kindergartens"
Euro Kids,"Plot No 1/A, Asha Society, Sanad Sarkhej Highway, Sanand Ho, Sanand - 382110, Near Police Station",+(91)-79-30925116,,2013,3.5,"Schools , Playgroups , Nursery Schools , Kindergartens"
Sattvavikas School,"Sattvavikas School, Near Sindhu Bhavan, Thaltej, Ahmedabad - 380059, Thaltej",+(91)-79-30234385,http://www.sattvavikas.com,2003,3.8,"CBSE Schools , Schools , English Medium Schools , Gseb Schools , Nursery Schools , Kindergartens , Schools For Higher Secondary , Schools Nursery To X , School For Boys"
Ankur Higher Secondary School,"ANKUR ENGLISH SCHOOL, KRISHNANAGAR, Krishna Nagar, Ahmedabad - 382345, NR. MARUTI PLAZA",+(91)-79-30492714,,1999,3.8,"Schools , English Medium Schools , Gujarati Medium Schools , Schools For Higher Secondary , Schools Nursery To X , Schools Nursery To VII"
EuroKids,"25, Ravish Bunglows, Thaltej Hebatpur Road, Thaltej, Ahmedabad - 380059, Opposite Mahila ITI College...","+(91)-79-30236357 , 18002095656",http://www.eurokidsindia.com,2006,3.5,"Schools , Playgroups , Nursery Schools , Kindergartens"
Brightstart Pre School,"B 26, Himmatlalpark Society, Satellite, Ahmedabad - 380015, Near Azad Society, Opposite Bimanagar",+(91)-79-33015840,http://www.thebrightstart.com,2008,4.6,"Schools , English Medium Schools , Playgroups , Gseb Schools , Nursery Schools , Kindergartens"
EuroKids,"3, Surya Narayan Bunglows, Science City Road, Sola Road, Ahmedabad - 380061, Near R K Royal Hall , O...","+(91)-79-30236976 , 18002095656",http://www.eurokidsindia.com,2008,3.7,"Schools , Playgroups , Nursery Schools , Kindergartens"
Little Wings A Child Care Initiative & Academy,"Ghuma Bopal Road, Bopal, Ahmedabad - 380058, Near Kabir Enclave",+(91)-79-33010628,http://ww.littlewings.net,2014,3.9,"Schools , Language Classes For English , Playgroups , Personality Development Institutes , Activity Class , Language Classes , Nursery Schools , Personality Development , Language Classes For English For Children , Institutes For Skill Development , Tutorials For English , Institutes For Self Development , Tutorials For KG"
Sunflower English And Hindi Medium School,"001,Samir Nagar, Rajendra park road,Nr.Bhikshuk gruh road, Odhav, Ahmedabad - 382120, Maheshwari nagar","+(91)-9898000654 , 9067220040 , +(91)-9067220040",,1996,4.5,Schools
Delhi Public School,"Bopal Square, Bopal, Ahmedabad - 380058, Near Bopal Railway Crossing","+(91)-2717-230521 , 230571 , 230240 , 325400 , 325516",http://www.calorxdps.org,,4.2,"Schools , CBSE Schools , Playgroups , English Medium Schools , Kindergartens"
ST Xaviers High School,"Loyola Hall, Naranpura, Ahmedabad - 380013, Near Darpan Six Roads","+(91)-79-27910400 , 27910510",http://www.loyolahallahd.com,,4.2,"Schools , English Medium Schools , Gujarati Medium Schools , Kindergartens , Gseb Schools"
Anand Niketan School,"Satellite, Ahmedabad - 380015, Behind Fun Republic Cinema, Near Asavari Towers, Off S G Road","+(91)-9737047616 , 9624000858 , 9737047601 , 9737047614 , 9737047667 , 9737047651",http://www.anandniketan.org,,3.9,"Schools , English Medium Schools , Playgroups , ICSE Schools , Nursery Schools , Kindergartens"
Prakash Higher Secondary School,"Bodakdev, Ahmedabad - 380054, Near Sandesh Press","+(91)-79-26840123 , 26858888",http://www.prakashcbseschool.in,,4.1,"Schools , CBSE Schools , English Medium Schools , Kindergartens"
