Nimt School,"Ansal Avantika Extension, Shastri Nagar, Ghaziabad, Ghaziabad - 201001, Opposite Indira Pradarshani ...",+(91)-11-33069359,http://www.nimtschool.in,1987,3.9,"Schools , CBSE Schools , Public Schools , Day Care Centres , International Schools , English Medium Schools"
Dr Radhakrishnan International School,"C- Block Chetak Vithi, Defence Colony, Delhi - 110024, Adjoining Defence Colony Club And Opposite Gu...",+(91)-11-33436836,,2006,3.5,"Schools , Public Schools"
JKG International School,"Plot No 13 Shakti Khand II, Indirapuram, Ghaziabad - 201014, Opposite Swarn Jyanti Park",+(91)-11-33725728,http://www.jkgschool.com,2004,3.8,"Schools , Kindergartens , Public Schools"
Ramagya School,"E 7 Sector-50, Noida Sector 50, Noida - 201307",+(91)-11-39549636,http://www.ramagyaschool.com,2007,3.8,"Schools , CBSE Schools , Convent Schools , Model School"
Dr Radhakrishnan International School,"C-Block, Chetak Vithi, Defence Colony, Delhi - 110024, Adjoining Defence Colony Club, Opposite Gurud...",+(91)-11-33983525,,1971,4.1,"Schools , CBSE Schools , Kindergartens , Public Schools"
Deep Memorial Public School,"Ramprastha Colony, A Block, Ramprastha, Ghaziabad - 201011, Near Isbt Anand Vihar",+(91)-11-33079286,http://www.dmps.in,1988,3.9,"Schools , CBSE Schools , Boarding Schools , Public Schools , English Medium Schools , CBSE Boarding Schools"
Greenfield Public School,"C4    86a Yamuna Vihar Dehli, Yamuna Vihar, Delhi - 110053",+(91)-11-39514318,,1967,4.0,"Schools , Kindergartens , CBSE Schools , Public Schools , Convent Schools , Schools For Girls"
Discovery Boarding School,"Hemkunt Chambers, Nehru Place, Delhi - 110019, Opposite Modi Tower",+(91)-11-33076116,http://www.pathtoschools.com,2005,3.5,"Schools , CBSE Schools , Boarding Schools , Convent Schools , English Medium Schools , Girls Boarding Schools , CBSE Boarding Schools , Schools For Girls , Boys Boarding Schools , CBSE Boarding Schools For Girls , Hostel School Outstation , CBSE Boarding Schools For Boys , IGCSE Boarding Schools , ICSE Boarding Schools"
Samsara World School,"H S 21,1st Avenue, Sector 37, Greater Noida, Noida - 201310, Near Jypee Golf Course",+(91)-11-33430389,http://www.samsara-worldacademy.co.in,2009,3.6,"Schools , Kindergartens , CBSE Schools , Public Schools , Convent Schools , International Schools , Girls Schools , English Medium Schools , Schools For Girls"
Excellent Public School,"1309, Block B, Sant Nagar, Gali No 37, Burari, Delhi - 110084",+(91)-11-33982115,,2000,4.1,"Schools , Kindergartens , CBSE Schools , Public Schools"
Jlj Financial & Management Consultants Pvt Ltd,"sector-16A, Huda market, Faridabad, Delhi - 121001",+(91)-11-33490418,,2010,3.5,"Schools , Language Classes For English , Computer Training Institutes , CBSE Schools , Fashion Designing Institutes , Open School , Public Schools , Institutes For Hotel Management , AUTOCAD Training Institutes , Management Institutes , Tally Training Institutes , B Ed Institutes , MBA Institutes , Mass Communication Institutes , Open University , Distance Education Institutes , Institutes , Admission Consultants , Institutes For LLB , Computer Training Institutes For Java , Convent Schools , Correspondence Education , Jbt Institutes , Animation Training Institutes , BBA Institutes , Engineering Institutes , Computer Training Institutes For MS Excel , Software Training Institutes , Institutes For BCA , B Com Institutes , B Tech Engineering Institutes , BA Institutes , Computer Training Institutes For Hardware , Institutes For Accounting , C ++ Training Institutes , Computer Training Institutes For Dot Net , Computer Networking Institutes , MCA Institutes , Computer Training Institutes For Doeacc , Computer Training Institutes For CNC , B Ed Tutorials , MSC Institutes , Oracle Training Institutes , English Medium Schools , Computer Training Institutes For Programming Languages , B Ed Correspondence Institutes , Computer Training Institutes For Java Programming , University Admission Guidance , Consultant Admission Open School , Mechanical Engineering Diploma Institutes , Computer Training Institutes For Linux , Model School , CBSE Boarding Schools , Visual Basic Training Institutes , Institutes For M Tech , Institutes For Distance Education B Ed , BBA Correspondence Institutes , BCA Correspondence Institutes , CBSE Boarding Schools For Boys , Institutes For MBA International , Computer Training Institutes For Internet , Education Consultant BCA , Admission Consultant For BCA"
Dynasty International School,"Faridabad Sector 28, Faridabad - 121008, Opposite House No-1563",+(91)-11-39543431,http://www.dynastyinternationalschool.com,1982,4.1,"Schools , Kindergartens , CBSE Schools"
The Paras World School India,"Rosewood City, Main Sector Road, Gurgaon Sector 50, Gurgaon - 122018",+(91)-11-33055670,http://www.parasworldschool.com,2014,3.8,"Schools , Kindergartens , Public Schools , International Schools , Consultant Admission School , English Medium Schools , Consultant Admission Open School , Model School , Schools For Girls , Play Group Organiser For Children , Schools Nursery To X , Schools Nursery To VII"
JLJ Concept School,"71.5 Km Stone, Mitrol, Palwal, Nh 2, Delhi Mathura Road, Faridabad, Faridabad - 121001",+(91)-11-33741113,http://www.jljconceptschool.com,2008,3.9,"Schools , CBSE Schools , Boarding Schools , Day Boarding Schools , IIT Tutorials , Medical Entrance Tutorials , International Schools , Girls Boarding Schools , CBSE Boarding Schools , Schools For Girls , Boys Boarding Schools , Boys School , CBSE Boarding Schools For Boys"
Great Mission Public School,"Dwarka Sector 5, Delhi - 110075",+(91)-11-33636241,http://www.gmps.officialpage.info,1995,4.1,"Schools , CBSE Schools"
Malti Dev Memorial School,"Plot 66a Pocket MIG, Rohini Sector 2, Delhi - 110085, Near Paul Star School",+(91)-11-33631213,,6,3.7,"Schools , Kindergartens , Public Schools , Convent Schools , English Medium Schools , Stationery Suppliers , Schools For Girls , Boys School , Schools Nursery To VII"
